Date,Review_ID,Store_ID,Product_ID,Category,Region,Customer_ID,Rating,Sentiment,Review_Text,Verified_Purchase,Helpful_Votes
01-01-2022,R001854,S003,P0058,Groceries,West,C02423,3,Neutral,Fair quality for the price paid.,Yes,8
01-01-2022,R002746,S001,P0140,Toys,East,C00478,5,Positive,Fast delivery and great value for money.,Yes,2
01-01-2022,R002992,S005,P0158,Electronics,South,C01981,3,Neutral,"It's okay, met basic expectations.",Yes,8
01-01-2022,R003278,S004,P0146,Furniture,North,C00665,1,Negative,"Worst purchase, do not recommend.",Yes,7
01-01-2022,R003572,S005,P0025,Clothing,North,C01977,3,Neutral,Fair quality for the price paid.,Yes,11
01-01-2022,R004487,S002,P0128,Furniture,West,C00248,5,Positive,Best purchase I've made this year.,Yes,14
01-01-2022,R004765,S005,P0111,Furniture,South,C01951,4,Positive,"Solid product, does what it says.",No,3
01-01-2022,R005084,S005,P0193,Groceries,East,C00545,5,Positive,Best purchase I've made this year.,Yes,49
01-01-2022,R005870,S001,P0085,Furniture,West,C00399,5,Positive,"Absolutely love this product, will buy again.",No,27
01-01-2022,R005898,S001,P0063,Furniture,South,C00802,3,Neutral,Fair quality for the price paid.,Yes,9
01-02-2022,R001729,S005,P0131,Clothing,East,C01043,3,Neutral,"Average product, nothing special.",Yes,17
01-02-2022,R002865,S005,P0198,Groceries,North,C02660,5,Positive,"Absolutely love this product, will buy again.",No,41
01-02-2022,R003393,S003,P0161,Groceries,West,C00856,5,Positive,Fast delivery and great value for money.,No,30
01-02-2022,R003535,S004,P0117,Toys,West,C01556,4,Positive,Pretty happy with this purchase.,Yes,9
01-02-2022,R003631,S001,P0028,Groceries,East,C02683,5,Positive,Best purchase I've made this year.,Yes,27
01-02-2022,R003636,S001,P0141,Clothing,West,C02100,4,Positive,Pretty happy with this purchase.,Yes,7
01-02-2022,R003768,S004,P0125,Toys,West,C01877,3,Neutral,Fair quality for the price paid.,No,16
01-02-2022,R004922,S004,P0135,Furniture,West,C00260,1,Negative,"Terrible experience, would not buy again.",Yes,33
01-02-2022,R005022,S004,P0144,Clothing,South,C00188,4,Positive,"Good product overall, minor issues but satisfied.",Yes,11
01-02-2022,R005241,S005,P0164,Groceries,West,C00722,4,Positive,"Works well, decent quality for the price.",Yes,6
01-03-2022,R000893,S004,P0048,Clothing,West,C00867,1,Negative,"Very disappointed, product did not work.",Yes,18
01-03-2022,R000938,S001,P0183,Toys,East,C02427,5,Positive,Best purchase I've made this year.,No,45
01-03-2022,R001537,S004,P0136,Electronics,North,C02996,3,Neutral,"It's okay, met basic expectations.",Yes,16
01-03-2022,R001603,S003,P0129,Groceries,East,C00143,4,Positive,Pretty happy with this purchase.,Yes,7
01-03-2022,R002494,S002,P0044,Clothing,North,C02591,5,Positive,"Excellent quality, exceeded my expectations!",Yes,10
01-03-2022,R003013,S001,P0064,Electronics,North,C02680,3,Neutral,"It's okay, met basic expectations.",Yes,9
01-03-2022,R003248,S003,P0015,Furniture,North,C01011,5,Positive,"Highly recommend, works perfectly.",Yes,28
01-03-2022,R003444,S003,P0018,Clothing,East,C00231,5,Positive,"Absolutely love this product, will buy again.",No,44
01-03-2022,R003680,S001,P0092,Electronics,North,C01061,3,Neutral,"Average product, nothing special.",No,12
01-03-2022,R004107,S001,P0189,Groceries,West,C01612,3,Neutral,"Neutral experience, neither good nor bad.",Yes,13
01-04-2022,R000691,S002,P0011,Groceries,South,C02418,5,Positive,Fast delivery and great value for money.,Yes,47
01-04-2022,R002717,S002,P0114,Groceries,South,C00328,5,Positive,"Excellent quality, exceeded my expectations!",Yes,33
01-04-2022,R003044,S005,P0002,Clothing,West,C01437,4,Positive,"Good value, would recommend to others.",Yes,13
01-04-2022,R003539,S002,P0008,Electronics,East,C02034,1,Negative,"Product arrived damaged, very unhappy.",No,22
01-04-2022,R005455,S005,P0182,Toys,South,C02102,4,Positive,"Works well, decent quality for the price.",Yes,2
01-04-2022,R005697,S001,P0197,Electronics,South,C00754,5,Positive,"Absolutely love this product, will buy again.",Yes,7
01-05-2022,R000150,S003,P0126,Clothing,West,C02026,4,Positive,"Works well, decent quality for the price.",Yes,16
01-05-2022,R000278,S003,P0102,Toys,West,C00806,4,Positive,"Good product overall, minor issues but satisfied.",Yes,17
01-05-2022,R000570,S002,P0059,Furniture,East,C00080,5,Positive,"Absolutely love this product, will buy again.",Yes,5
01-05-2022,R001609,S004,P0044,Clothing,South,C02287,5,Positive,"Highly recommend, works perfectly.",Yes,16
01-05-2022,R003159,S004,P0162,Toys,North,C02481,4,Positive,Pretty happy with this purchase.,No,1
01-05-2022,R003637,S005,P0047,Groceries,East,C00514,4,Positive,"Solid product, does what it says.",Yes,9
01-05-2022,R005222,S002,P0001,Electronics,East,C01851,4,Positive,"Solid product, does what it says.",Yes,16
01-05-2022,R005619,S005,P0033,Toys,South,C00537,4,Positive,"Solid product, does what it says.",No,11
01-05-2022,R005627,S003,P0185,Clothing,West,C00790,5,Positive,Fast delivery and great value for money.,Yes,47
01-06-2022,R000388,S002,P0156,Groceries,South,C00987,3,Neutral,"Neutral experience, neither good nor bad.",Yes,3
01-06-2022,R001205,S004,P0043,Groceries,North,C01526,4,Positive,"Good value, would recommend to others.",Yes,14
01-06-2022,R001220,S001,P0098,Toys,South,C02337,2,Negative,Poor packaging and average product.,Yes,17
01-06-2022,R001782,S002,P0120,Clothing,West,C01759,5,Positive,"Highly recommend, works perfectly.",Yes,17
01-06-2022,R002985,S001,P0129,Groceries,North,C02731,4,Positive,"Solid product, does what it says.",Yes,6
01-06-2022,R004943,S003,P0046,Groceries,South,C00146,4,Positive,"Works well, decent quality for the price.",Yes,6
01-06-2022,R005311,S001,P0160,Groceries,South,C01910,4,Positive,"Good value, would recommend to others.",No,11
01-07-2022,R000184,S002,P0083,Electronics,North,C02726,3,Neutral,"Neutral experience, neither good nor bad.",Yes,14
01-07-2022,R002980,S003,P0151,Toys,South,C01156,4,Positive,"Good product overall, minor issues but satisfied.",Yes,19
01-07-2022,R003217,S005,P0144,Clothing,East,C01459,3,Neutral,"Average product, nothing special.",Yes,14
