Unified_Date,Orders,Revenue,Discounts_Given,COGS,Net_Profit
2026-08-06,1,1180.0,0.0,390.0,790.0
2026-08-07,1,1180.0,0.0,390.0,790.0
2026-08-08,1,1180.0,0.0,390.0,790.0
2026-08-09,1,1180.0,0.0,390.0,790.0
2026-08-10,1,1180.0,0.0,390.0,790.0
2026-08-11,1,1180.0,0.0,390.0,790.0
2026-08-12,1,1180.0,0.0,390.0,790.0
2026-08-13,2,1705.0,0.0,440.0,1265.0
2026-08-14,2,1705.0,0.0,440.0,1265.0
2026-08-15,2,1705.0,0.0,440.0,1265.0
2026-08-16,2,1705.0,0.0,440.0,1265.0
2026-08-17,2,1705.0,15.0,440.0,1265.0
2026-08-18,2,1705.0,0.0,440.0,1265.0
2026-08-19,2,1705.0,0.0,440.0,1265.0
2026-08-20,2,1705.0,0.0,440.0,1265.0
2026-08-21,2,1449.0,250.0,440.0,1009.0
2026-08-22,2,1449.0,250.0,440.0,1009.0
2026-08-23,2,1449.0,250.0,440.0,1009.0
2026-08-24,2,1449.0,250.0,440.0,1009.0
2026-08-25,2,1449.0,250.0,440.0,1009.0
2026-08-26,2,1725.0,4500.0,2000.0,-275.0
2026-08-27,2,1725.0,14000.0,2200.0,-475.0
